iteration,before,after,diff
350,588990935,588990949,14
351,588991108,588991122,14
352,588991280,588991295,15
353,588991453,588991467,14
354,588991625,588991639,14
355,588991799,588991814,15
356,588991971,588991985,14
357,588992144,588992158,14
358,588992318,588992332,14
359,588992490,588992505,15
360,588992663,588992677,14
361,588992836,588992850,14
362,588993008,588993022,14
363,588993180,588993195,15
364,588993352,588993366,14
365,588993526,588993540,14
366,588993698,588993712,14
367,588993870,588993885,15
368,588994043,588994057,14
369,588994216,588994230,14
370,588994389,588994402,13
371,588994562,588994577,15
372,588994734,588994748,14
373,588994907,588994921,14
374,588995079,588995093,14
375,588995252,588995266,14
376,588995424,588995438,14
377,588995596,588995610,14
378,588995769,588995783,14
379,588995942,588995956,14
380,588996114,588996128,14
381,588996287,588996302,15
382,588996460,588996474,14
383,588996632,588996647,15
384,588996804,588996819,15
385,588996977,588996991,14
386,588997150,588997164,14
387,588997321,588997336,15
388,588997494,588997509,15
389,588997666,588997681,15
390,588997839,588997853,14
391,588998012,588998026,14
392,588998184,588998198,14
393,588998356,588998371,15
394,588998529,588998543,14
395,588998701,588998716,15
396,588998874,588998888,14
397,588999046,588999060,14
398,588999218,588999233,15
399,588999391,588999405,14
400,588999564,588999578,14
401,588999737,588999750,13
402,588999909,588999923,14
403,589000082,589000095,13
404,589000254,589000268,14
405,589000427,589000441,14
406,589000599,589000613,14
407,589000772,589000785,13
408,589000944,589000958,14
409,589001117,589001131,14
410,589001289,589001304,15
411,589001462,589001476,14
412,589001635,589001648,13
413,589001807,589001821,14
414,589001979,589001994,15
415,589002153,589002167,14
416,589002325,589002340,15
417,589002498,589002512,14
418,589002670,589002685,15
419,589002843,589002857,14
420,589003016,589003031,15
421,589003190,589003203,13
422,589003362,589003376,14
423,589003535,589003548,13
424,589003707,589003721,14
425,589003880,589003894,14
426,589004052,589004067,15
427,589004225,589004239,14
428,589004398,589004412,14
429,589004570,589004584,14
430,589004744,589004759,15
431,589004917,589004931,14
432,589005089,589005104,15
433,589005262,589005276,14
434,589005443,589005457,14
435,589005616,589005631,15
436,589005794,589005808,14
437,589005966,589005980,14
438,589006139,589006153,14
439,589006312,589006326,14
440,589006484,589006499,15
441,589006657,589006671,14
442,589006830,589006845,15
443,589007003,589007017,14
444,589007176,589007190,14
445,589007349,589007364,15
446,589007522,589007536,14
447,589007695,589007709,14
448,589007868,589007881,13
449,589008040,589008055,15
450,589008213,589008228,15
451,589008387,589008401,14
452,589008559,589008573,14
453,589008733,589008747,14
454,589008905,589008919,14
455,589009079,589009093,14
456,589009251,589009266,15
457,589009427,589009441,14
458,589009600,589009614,14
459,589012721,589012741,20
460,589012915,589012929,14
461,589013095,589013110,15
462,589013276,589013290,14
463,589013452,589013465,13
464,589013625,589013638,13
465,589013800,589013814,14
466,589013978,589013992,14
467,589014153,589014167,14
468,589014330,589014345,15
469,589014506,589014520,14
470,589014683,589014697,14
471,589014858,589014873,15
472,589015034,589015048,14
473,589015209,589015224,15
474,589015385,589015399,14
475,589015560,589015574,14
476,589015735,589015749,14
477,589015909,589015924,15
478,589016084,589016098,14
479,589016259,589016273,14
480,589016434,589016448,14
481,589016609,589016623,14
482,589016784,589016798,14
483,589016960,589016973,13
484,589017134,589017148,14
485,589017308,589017322,14
486,589017483,589017497,14
487,589017658,589017672,14
488,589017832,589017846,14
489,589018007,589018021,14
490,589018181,589018196,15
491,589018357,589018370,13
492,589018530,589018544,14
493,589018705,589018720,15
494,589018881,589018894,13
495,589019055,589019070,15
496,589019230,589019244,14
497,589019405,589019419,14
498,589019579,589019593,14
499,589019754,589019768,14
500,589019929,589019943,14
501,589020103,589020117,14
502,589020278,589020292,14
503,589020452,589020466,14
504,589020626,589020640,14
505,589020800,589020815,15
506,589020975,589020989,14
507,589021150,589021164,14
508,589021325,589021339,14
509,589021499,589021514,15
510,589021675,589021688,13
511,589021849,589021863,14
512,589022023,589022037,14
513,589022198,589022212,14
514,589022372,589022385,13
515,589022546,589022561,15
516,589022720,589022735,15
517,589022895,589022909,14
518,589023070,589023085,15
519,589023249,589023263,14
520,589023424,589023439,15
521,589023599,589023613,14
522,589023774,589023788,14
523,589023948,589023961,13
524,589024122,589024136,14
525,589024296,589024310,14
526,589024471,589024486,15
527,589024645,589024659,14
528,589024819,589024833,14
529,589024993,589025008,15
530,589025169,589025182,13
531,589025342,589025357,15
532,589025517,589025531,14
533,589025691,589025705,14
534,589025866,589025879,13
535,589026040,589026054,14
536,589026214,589026228,14
537,589026388,589026403,15
538,589026562,589026577,15
539,589026737,589026751,14
540,589026911,589026924,13
541,589027086,589027100,14
542,589027259,589027273,14
543,589027434,589027447,13
544,589027608,589027622,14
545,589027782,589027797,15
546,589027956,589027970,14
547,589028132,589028145,13
548,589028305,589028320,15
549,589028479,589028494,15
550,589028653,589028667,14
551,589028828,589028842,14
552,589029002,589029016,14
553,589029175,589029190,15
554,589029350,589029364,14
555,589029525,589029539,14
556,589029698,589029712,14
557,589029873,589029887,14
558,589030046,589030061,15
559,589030222,589030236,14
560,589030396,589030410,14
561,589030570,589030584,14
562,589030744,589030758,14
563,589030919,589030933,14
564,589031093,589031107,14
565,589031267,589031281,14
566,589031442,589031456,14
567,589031616,589031630,14
568,589031789,589031804,15
569,589031964,589031978,14
570,589032138,589032153,15
571,589032313,589032327,14
572,589032488,589032502,14
573,589032662,589032677,15
574,589032837,589032851,14
575,589033011,589033026,15
576,589033185,589033200,15
577,589033360,589033374,14
578,589033534,589033548,14
579,589033709,589033723,14
580,589033882,589033897,15
581,589034057,589034071,14
582,589034231,589034246,15
583,589034406,589034420,14
584,589034580,589034595,15
585,589034755,589034769,14
586,589034930,589034944,14
587,589035106,589035121,15
588,589035282,589035296,14
589,589035456,589035471,15
590,589035631,589035645,14
591,589035806,589035820,14
592,589035980,589035994,14
593,589036155,589036168,13
594,589036329,589036343,14
595,589036503,589036517,14
596,589036677,589036692,15
597,589036853,589036867,14
598,589037028,589037042,14
599,589037203,589037217,14
600,589037377,589037392,15
601,589037552,589037565,13
602,589037727,589037741,14
603,589037901,589037915,14
604,589038076,589038090,14
605,589038250,589038265,15
606,589038424,589038439,15
607,589038600,589038614,14
608,589038773,589038787,14
609,589038949,589038963,14
610,589041909,589041930,21
611,589042111,589042125,14
612,589042291,589042306,15
613,589042473,589042487,14
614,589042653,589042666,13
615,589042829,589042843,14
616,589043004,589043018,14
617,589043182,589043196,14
618,589043357,589043371,14
619,589043535,589043549,14
620,589043713,589043728,15
621,589043891,589043905,14
622,589044070,589044083,13
623,589044246,589044260,14
624,589044422,589044436,14
625,589044600,589044614,14
626,589044777,589044791,14
627,589044953,589044968,15
628,589045131,589045145,14
629,589045307,589045321,14
630,589045484,589045498,14
631,589045660,589045675,15
632,589045837,589045851,14
633,589046013,589046027,14
634,589046188,589046202,14
635,589046364,589046378,14
636,589046539,589046553,14
637,589046715,589046729,14
638,589046891,589046904,13
639,589047066,589047080,14
640,589047241,589047255,14
641,589047416,589047430,14
642,589047591,589047605,14
643,589047767,589047780,13
644,589047942,589047956,14
645,589048117,589048132,15
646,589048292,589048307,15
647,589048467,589048481,14
648,589048643,589048656,13
649,589048818,589048832,14
650,589048994,589049008,14
651,589049169,589049183,14
652,589049344,589049358,14
653,589049519,589049533,14
654,589049694,589049708,14
655,589049869,589049884,15
656,589050044,589050058,14
657,589050219,589050233,14
658,589050395,589050409,14
659,589050570,589050584,14
660,589050745,589050760,15
661,589050920,589050935,15
662,589051095,589051110,15
663,589051271,589051284,13
664,589051446,589051460,14
665,589051620,589051635,15
666,589051795,589051810,15
667,589051970,589051985,15
668,589052145,589052160,15
669,589052320,589052334,14
670,589052495,589052509,14
671,589052673,589052687,14
672,589052847,589052862,15
673,589053022,589053036,14
674,589053199,589053212,13
675,589053373,589053388,15
676,589053548,589053562,14
677,589053723,589053737,14
678,589053899,589053913,14
679,589054073,589054088,15
680,589054248,589054262,14
681,589054423,589054437,14
682,589054598,589054612,14
683,589054772,589054786,14
684,589054948,589054963,15
685,589055123,589055137,14
686,589055299,589055313,14
687,589055474,589055487,13
688,589055648,589055662,14
689,589055823,589055837,14
690,589055996,589056011,15
691,589056172,589056186,14
692,589056347,589056361,14
693,589056523,589056536,13
694,589056697,589056712,15
695,589056872,589056887,15
696,589057046,589057061,15
