iteration,before,after,diff
556,917288211,917288231,20
557,917288456,917288477,21
558,917288702,917288722,20
559,917288946,917288966,20
560,917289192,917289213,21
561,917289436,917289456,20
562,917289682,917289703,21
563,917289927,917289946,19
564,917290172,917290192,20
565,917290417,917290438,21
566,917290662,917290683,21
567,917290908,917290928,20
568,917291154,917291175,21
569,917291399,917291419,20
570,917291645,917291664,19
571,917291889,917291909,20
572,917292134,917292155,21
573,917292380,917292400,20
574,917292624,917292646,22
575,917292871,917292891,20
576,917293116,917293136,20
577,917293362,917293383,21
578,917293608,917293629,21
579,917293852,917293872,20
580,917294098,917294118,20
581,917294344,917294364,20
582,917294590,917294611,21
583,917294835,917294856,21
584,917295080,917295102,22
585,917295330,917295351,21
586,917295576,917295596,20
587,917295825,917295845,20
588,917296071,917296092,21
589,917296316,917296336,20
590,917296562,917296583,21
591,917296807,917296827,20
592,917297053,917297073,20
593,917297300,917297320,20
594,917297545,917297565,20
595,917297791,917297812,21
596,917298037,917298057,20
597,917298281,917298302,21
598,917298527,917298548,21
599,917298771,917298792,21
600,917299017,917299037,20
601,917299263,917299283,20
602,917299510,917299530,20
603,917299756,917299776,20
604,917300002,917300022,20
605,917300247,917300268,21
606,917300493,917300513,20
607,917300738,917300758,20
608,917300983,917301004,21
609,917301228,917301249,21
610,917305464,917305491,27
611,917305742,917305763,21
612,917305997,917306016,19
613,917306244,917306264,20
614,917306487,917306507,20
615,917306729,917306749,20
616,917306978,917306998,20
617,917307225,917307246,21
618,917307471,917307491,20
619,917307717,917307737,20
620,917307961,917307981,20
621,917308205,917308225,20
622,917308450,917308470,20
623,917308696,917308715,19
624,917308940,917308960,20
625,917309183,917309203,20
626,917309428,917309449,21
627,917309674,917309694,20
628,917309918,917309940,22
629,917310164,917310184,20
630,917310409,917310429,20
631,917310655,917310674,19
632,917310898,917310918,20
633,917311143,917311164,21
634,917311389,917311409,20
635,917311633,917311652,19
636,917311877,917311898,21
637,917312123,917312143,20
638,917312366,917312387,21
639,917312612,917312631,19
640,917312856,917312876,20
641,917313100,917313120,20
642,917313352,917313371,19
643,917313598,917313619,21
644,917313843,917313864,21
645,917314088,917314108,20
646,917314334,917314354,20
647,917314578,917314597,19
648,917314822,917314842,20
649,917315067,917315087,20
650,917315312,917315332,20
651,917315556,917315577,21
652,917315801,917315821,20
653,917316046,917316066,20
654,917316290,917316311,21
655,917316535,917316556,21
656,917316780,917316800,20
657,917317024,917317045,21
658,917317269,917317289,20
659,917317514,917317535,21
660,917317759,917317779,20
661,917318005,917318025,20
662,917318250,917318268,18
663,917318494,917318514,20
664,917318740,917318760,20
665,917318985,917319005,20
666,917319229,917319250,21
667,917319475,917319494,19
668,917319720,917319740,20
669,917319965,917319985,20
670,917320209,917320229,20
671,917320454,917320474,20
672,917320700,917320720,20
673,917320944,917320964,20
674,917321190,917321210,20
675,917321435,917321455,20
676,917321679,917321699,20
677,917321925,917321945,20
678,917322170,917322190,20
679,917322414,917322435,21
680,917322660,917322681,21
681,917322905,917322926,21
682,917323151,917323171,20
683,917323396,917323416,20
684,917323640,917323660,20
685,917323886,917323906,20
686,917324131,917324152,21
687,917324375,917324395,20
688,917324621,917324641,20
689,917324867,917324887,20
690,917325112,917325132,20
691,917325357,917325376,19
692,917325602,917325623,21
693,917325848,917325867,19
694,917326094,917326115,21
695,917326339,917326359,20
696,917326585,917326606,21
697,917326830,917326851,21
698,917327076,917327097,21
699,917327320,917327341,21
700,917327566,917327587,21
701,917327812,917327832,20
702,917328058,917328078,20
703,917328302,917328322,20
704,917328548,917328568,20
705,917328792,917328812,20
706,917329037,917329058,21
707,917329284,917329303,19
708,917329529,917329550,21
709,917329774,917329795,21
710,917330020,917330041,21
711,917330266,917330286,20
712,917330511,917330532,21
713,917330758,917330778,20
714,917331003,917331024,21
715,917331249,917331269,20
716,917331495,917331515,20
717,917331739,917331760,21
718,917331985,917332005,20
719,917332229,917332249,20
720,917332475,917332495,20
721,917332718,917332738,20
722,917332964,917332984,20
723,917333210,917333230,20
724,917333455,917333475,20
725,917333699,917333720,21
726,917333946,917333966,20
727,917334191,917334210,19
728,917334435,917334457,22
729,917334682,917334702,20
730,917334927,917334948,21
731,917335173,917335193,20
732,917335417,917335437,20
733,917335663,917335683,20
734,917335909,917335928,19
735,917336154,917336174,20
736,917336398,917336419,21
737,917336660,917336678,18
738,917336904,917336924,20
739,917337151,917337172,21
740,917337397,917337417,20
741,917337642,917337663,21
742,917337887,917337907,20
743,917338131,917338151,20
744,917338376,917338396,20
745,917338622,917338642,20
746,917338866,917338887,21
747,917339111,917339131,20
748,917339356,917339377,21
749,917339600,917339621,21
750,917339846,917339866,20
751,917340089,917340110,21
752,917340335,917340355,20
753,917340579,917340599,20
754,917340825,917340844,19
755,917341067,917341088,21
756,917341312,917341333,21
757,917341557,917341577,20
758,917341803,917341823,20
759,917342048,917342069,21
760,917342291,917342311,20
761,917342536,917342556,20
762,917346860,917346887,27
763,917347140,917347160,20
764,917347393,917347413,20
765,917347637,917347657,20
766,917347883,917347903,20
767,917348129,917348149,20
768,917348379,917348399,20
769,917348628,917348648,20
770,917348876,917348896,20
771,917349124,917349145,21
772,917349373,917349393,20
773,917349619,917349639,20
774,917349863,917349884,21
775,917350109,917350129,20
776,917350356,917350375,19
777,917350601,917350621,20
778,917350847,917350866,19
779,917351092,917351112,20
780,917351338,917351358,20
781,917351583,917351603,20
782,917351830,917351850,20
783,917352074,917352094,20
784,917352319,917352340,21
785,917352566,917352585,19
786,917352810,917352830,20
787,917353055,917353075,20
788,917353301,917353322,21
789,917353547,917353567,20
790,917353794,917353814,20
791,917354038,917354058,20
792,917354285,917354305,20
793,917354536,917354556,20
794,917354782,917354802,20
795,917355029,917355048,19
796,917355275,917355295,20
797,917355521,917355541,20
798,917355766,917355787,21
799,917356014,917356034,20
800,917356260,917356280,20
801,917356506,917356526,20
802,917356751,917356771,20
803,917356997,917357017,20
804,917357243,917357263,20
805,917357489,917357508,19
806,917357734,917357755,21
807,917357981,917358001,20
808,917358226,917358245,19
809,917358473,917358493,20
810,917358719,917358739,20
811,917358966,917358986,20
812,917359211,917359231,20
813,917359462,917359482,20
814,917359708,917359728,20
815,917359953,917359973,20
816,917360201,917360221,20
817,917360447,917360467,20
818,917360692,917360713,21
819,917360939,917360958,19
820,917361186,917361206,20
821,917361432,917361452,20
822,917361678,917361698,20
823,917361924,917361944,20
824,917362170,917362190,20
825,917362416,917362436,20
826,917362662,917362682,20
827,917362908,917362927,19
828,917363154,917363175,21
829,917363401,917363422,21
830,917363647,917363669,22
831,917363895,917363915,20
832,917364141,917364161,20
833,917364387,917364407,20
834,917364632,917364652,20
835,917364877,917364897,20
836,917365124,917365144,20
837,917365369,917365389,20
838,917365615,917365636,21
839,917365860,917365881,21
840,917366107,917366127,20
841,917366353,917366373,20
842,917366599,917366619,20
843,917366845,917366865,20
844,917367090,917367111,21
845,917367337,917367358,21
846,917367583,917367603,20
847,917367829,917367849,20
848,917368075,917368095,20
849,917368321,917368341,20
850,917368567,917368587,20
851,917368811,917368831,20
852,917369057,917369077,20
853,917369303,917369323,20
854,917369547,917369567,20
855,917369793,917369813,20
856,917370039,917370059,20
857,917370285,917370305,20
858,917370530,917370550,20
859,917370775,917370794,19
860,917371021,917371041,20
861,917371268,917371287,19
862,917371513,917371534,21
863,917371759,917371779,20
864,917372005,917372025,20
865,917372250,917372270,20
866,917372495,917372515,20
867,917372740,917372761,21
868,917372985,917373005,20
869,917373230,917373250,20
870,917373476,917373495,19
871,917373720,917373740,20
872,917373965,917373986,21
873,917374212,917374232,20
874,917374457,917374477,20
875,917374702,917374722,20
876,917374947,917374967,20
877,917375193,917375214,21
878,917375440,917375460,20
879,917375684,917375703,19
880,917375929,917375950,21
881,917376175,917376195,20
882,917376420,917376440,20
883,917376665,917376685,20
884,917376910,917376929,19
885,917377155,917377175,20
886,917377400,917377419,19
887,917377643,917377664,21
888,917377890,917377910,20
889,917378145,917378166,21
890,917378393,917378413,20
891,917378645,917378664,19
892,917378889,917378911,22
893,917379136,917379156,20
894,917379382,917379402,20
895,917379627,917379647,20
896,917379873,917379892,19
897,917380118,917380137,19
898,917380362,917380383,21
899,917380608,917380628,20
900,917380852,917380873,21
901,917381098,917381118,20
902,917381343,917381363,20
903,917381587,917381608,21
904,917381833,917381853,20
905,917382080,917382100,20
906,917382326,917382345,19
907,917382571,917382591,20
908,917382817,917382837,20
909,917383063,917383084,21
910,917383308,917383329,21
911,917383555,917383574,19
912,917383800,917383820,20
913,917384046,917384067,21
914,917388302,917388329,27
915,917388589,917388610,21
916,917388847,917388867,20
917,917389092,917389111,19
918,917389335,917389356,21
919,917389579,917389600,21
920,917389825,917389844,19
921,917390071,917390091,20
922,917390317,917390337,20
923,917390562,917390581,19
924,917390808,917390828,20
925,917391054,917391074,20
926,917391299,917391319,20
927,917391544,917391564,20
928,917391789,917391810,21
929,917392036,917392055,19
930,917392281,917392301,20
931,917392528,917392548,20
932,917392774,917392795,21
933,917393020,917393039,19
934,917393264,917393285,21
935,917393511,917393530,19
936,917393757,917393777,20
937,917394003,917394023,20
938,917394248,917394268,20
939,917394493,917394513,20
940,917394739,917394759,20
941,917394984,917395005,21
942,917395231,917395251,20
943,917395476,917395496,20
944,917395721,917395741,20
945,917395969,917395989,20
946,917396215,917396234,19
947,917396459,917396479,20
948,917396705,917396725,20
949,917396951,917396971,20
950,917397197,917397218,21
951,917397444,917397464,20
952,917397689,917397709,20
953,917397935,917397954,19
954,917398178,917398199,21
955,917398425,917398445,20
956,917398670,917398689,19
957,917398915,917398935,20
958,917399161,917399181,20
959,917399405,917399426,21
960,917399650,917399670,20
961,917399896,917399916,20
962,917400141,917400162,21
963,917400386,917400406,20
964,917400630,917400651,21
965,917400877,917400897,20
966,917401121,917401142,21
967,917401366,917401385,19
968,917401612,917401632,20
969,917401856,917401877,21
970,917402101,917402121,20
971,917402346,917402366,20
972,917402592,917402611,19
973,917402836,917402856,20
974,917403081,917403102,21
975,917403326,917403346,20
976,917403571,917403591,20
977,917403816,917403836,20
978,917404061,917404081,20
979,917404306,917404327,21
980,917404551,917404572,21
981,917404797,917404818,21
982,917405042,917405063,21
983,917405288,917405308,20
984,917405532,917405552,20
985,917405777,917405797,20
986,917406021,917406042,21
987,917406266,917406286,20
988,917406510,917406531,21
989,917406756,917406776,20
990,917407000,917407020,20
991,917407245,917407265,20
992,917407489,917407508,19
993,917407734,917407754,20
994,917407978,917407998,20
995,917408224,917408244,20
996,917408469,917408489,20
997,917408714,917408735,21
998,917408959,917408979,20
999,917409204,917409224,20
