749442981,749471694,28713
854169977,854197563,27586
965388848,965417619,28771
74460502,74488169,27667
185282160,185314606,32446
292276620,292303242,26622
396706607,396733270,26663
500367926,500395080,27154
608626902,608654493,27591
715996917,716024835,27918
820793477,820820216,26739
927207017,927233748,26731
33261336,33288650,27314
141984591,142013398,28807
252508964,252535727,26763
357155830,357182072,26242
462991464,463018159,26695
567738982,567767169,28187
673174860,673202647,27787
781265171,781292914,27743
889332547,889359862,27315
995364000,995390858,26858
100782557,100809380,26823
208818539,208846874,28335
315675025,315705498,30473
423882373,423909976,27603
529619838,529646284,26446
635402483,635430152,27669
740936283,740963207,26924
846141681,846168784,27103
956583721,956611461,27740
64144056,64171407,27351
169755752,169782725,26973
274290100,274316827,26727
379776923,379804401,27478
486159848,486187721,27873
593984396,594088673,104277
701275806,701303639,27833
806967930,806995054,27124
911727337,911754369,27032
17573523,17600471,26948
126664065,126692083,28018
237565757,237598864,33107
343471488,343498587,27099
449930874,449957827,26953
554075113,554101874,26761
660483969,660511562,27593
771559606,771587556,27950
878463780,878490555,26775
983951285,983977601,26316
87969913,87996629,26716
195768709,195796860,28151
301460160,301487496,27336
410484115,410511588,27473
518276906,518304416,27510
624904127,624931210,27083
732868346,732895985,27639
837885667,837912274,26607
944928860,944959441,30581
54318960,54346057,27097
165169981,165197641,27660
272712737,272739772,27035
378364969,378392060,27091
485322132,485348730,26598
594718865,594746560,27695
703707197,703734889,27692
810782168,810809123,26955
915842861,915869939,27078
358688900,358716919,28019
464378933,464406467,27534
563180896,563208113,27217
664464213,664491813,27600
763948688,763975699,27011
862048903,862075993,27090
967451625,967479864,28239
68864055,68890587,26532
170446034,170473461,27427
272464140,272491284,27144
373078997,373106004,27007
474306081,474333248,27167
577792388,577819421,27033
681651583,681679098,27515
784248118,784274755,26637
885265269,885291970,26701
987033437,987060517,27080
90379384,90408418,29034
200034185,200062963,28778
305950182,305977906,27724
411849504,411876764,27260
517442031,517470053,28022
625557831,625585543,27712
736844401,736872694,28293
843748361,843776889,28528
952415501,952444482,28981
60029418,60057127,27709
168516949,168545726,28777
276798181,276825605,27424
385390375,385418984,28609
492310642,492338558,27916
598892854,598920724,27870
707899945,707927374,27429
815448911,815477034,28123
924104679,924133898,29219
35604649,35633341,28692
144374093,144401734,27641
253451141,253479700,28559
359862373,359890064,27691
480470179,480498620,28441
592918335,592946978,28643
702541092,702569139,28047
809939367,809966871,27504
918044866,918072834,27968
25116632,25143875,27243
137612248,137640084,27836
246483623,246511424,27801
353411899,353439973,28074
480749907,480778369,28462
590855417,590883004,27587
703089690,703118766,29076
815186210,815216251,30041
923115525,923143255,27730
30939040,30965768,26728
141119862,141147698,27836
250636568,250664168,27600
362391781,362420042,28261
472360848,472388863,28015
580018018,580045746,27728
689128111,689156110,27999
798615661,798643465,27804
905499808,905527785,27977
18730629,18759160,28531
127893156,127920042,26886
235061745,235089433,27688
340624060,340650786,26726
446887748,446914412,26664
554659501,554688426,28925
662438102,662465360,27258
770900871,770927801,26930
876171790,876199267,27477
981531949,981561489,29540
85762168,85789196,27028
198722928,198750767,27839
305565150,305591600,26450
413001882,413028326,26444
519258171,519285008,26837
626455629,626482522,26893
735916115,735943922,27807
841515162,841591073,75911
948413883,948441034,27151
53462785,53517037,54252
161368842,161397769,28927
268889430,268917003,27573
388095323,388125005,29682
516763360,516796269,32909
651924177,651952281,28104
784310035,784336325,26290
917026264,917087188,60924
49413728,49439827,26099
179821696,179847836,26140
309089254,309114989,25735
440556230,440581792,25562
577384856,577412383,27527
709652434,709678479,26045
840069523,840095005,25482
971600311,971626040,25729
101313866,101341636,27770
256040473,256072700,32227
370561430,370588203,26773
952311363,952324298,12935
996750179,996759301,9122
38772255,38785237,12982
79296536,79310097,13561
119729900,119743257,13357
159881093,159890117,9024
199267248,199309647,42399
238438440,238450790,12350
277742780,277755038,12258
317514850,317526724,11874
357297132,357305929,8797
397262317,397271281,8964
437565215,437577350,12135
