iteration,before,after,diff
391,9128255,9128282,27, 0
392,9128507,9128535,28, 0
393,9128760,9128787,27, 0
394,9129012,9129040,28, 0
395,9129266,9129292,26, 0
396,9129518,9129544,26, 0
397,9129770,9129798,28, 0
398,9130024,9130051,27, 0
399,9130275,9130302,27, 0
400,9130528,9130555,27, 0
401,9130781,9130808,27, 0
402,9131034,9131061,27, 0
403,9131286,9131313,27, 0
404,9131539,9131566,27, 0
405,9131791,9131818,27, 0
406,9132044,9132070,26, 0
407,9132296,9132323,27, 0
408,9132548,9132576,28, 0
409,9132800,9132828,28, 0
410,9133053,9133080,27, 0
411,9133306,9133333,27, 0
412,9133558,9133584,26, 0
413,9133810,9133837,27, 0
414,9134063,9134090,27, 0
415,9134314,9134342,28, 0
416,9134567,9134594,27, 0
417,9134819,9134846,27, 0
418,9135072,9135099,27, 0
419,9135323,9135351,28, 0
420,9135576,9135603,27, 0
421,9135828,9135856,28, 0
422,9136080,9136107,27, 0
423,9136332,9136359,27, 0
424,9136584,9136611,27, 0
425,9136837,9136864,27, 0
426,9137089,9137117,28, 0
427,9137341,9137368,27, 0
428,9137593,9137619,26, 0
429,9137844,9137872,28, 0
430,9138098,9138124,26, 0
431,9138349,9138376,27, 0
432,9138601,9138628,27, 0
433,9138853,9138880,27, 0
434,9139106,9139133,27, 0
435,9139356,9139383,27, 0
436,9139609,9139636,27, 0
437,9139861,9139888,27, 0
438,9140112,9140139,27, 0
439,9140364,9140391,27, 0
440,9140616,9140643,27, 0
441,9140868,9140895,27, 0
442,9141120,9141147,27, 0
443,9141372,9141399,27, 0
444,9141623,9141650,27, 0
445,9141875,9141902,27, 0
446,9142128,9142155,27, 0
447,9142379,9142407,28, 0
448,9142631,9142658,27, 0
449,9142883,9142910,27, 0
450,9143136,9143164,28, 0
451,9143387,9143414,27, 0
452,9143640,9143667,27, 0
453,9143894,9143921,27, 0
454,9144145,9144171,26, 0
455,9144397,9144424,27, 0
456,9144648,9144675,27, 0
457,9144900,9144927,27, 0
458,9145152,9145179,27, 0
459,9145404,9145430,26, 0
460,9145655,9145682,27, 0
461,9145907,9145933,26, 0
462,9146159,9146186,27, 0
463,9146412,9146438,26, 0
464,9146662,9146689,27, 0
465,9146915,9146941,26, 0
466,9147166,9147193,27, 0
467,9147419,9147445,26, 0
468,9147671,9147698,27, 0
469,9147922,9147949,27, 0
470,9148174,9148201,27, 0
471,9148426,9148453,27, 0
472,9148678,9148706,28, 0
473,9148931,9148958,27, 0
474,9149182,9149210,28, 0
475,9149434,9149461,27, 0
476,9153348,9153384,36, 0
477,9153623,9153651,28, 0
478,9153874,9153903,29, 0
479,9154122,9154150,28, 0
480,9154373,9154401,28, 0
481,9154626,9154653,27, 0
482,9154877,9154905,28, 0
483,9155129,9155157,28, 0
484,9155381,9155408,27, 0
485,9155631,9155659,28, 0
486,9155883,9155911,28, 0
487,9156135,9156162,27, 0
488,9156388,9156415,27, 0
489,9156639,9156665,26, 0
490,9156889,9156916,27, 0
491,9157141,9157168,27, 0
492,9157394,9157420,26, 0
493,9157645,9157672,27, 0
494,9157897,9157923,26, 0
495,9158148,9158175,27, 0
496,9158400,9158427,27, 0
497,9158651,9158680,29, 0
498,9158904,9158930,26, 0
499,9159155,9159181,26, 0
500,9159406,9159433,27, 0
501,9159653,9159680,27, 0
502,9159902,9159930,28, 0
503,9160153,9160180,27, 0
504,9160403,9160431,28, 0
505,9160655,9160682,27, 0
506,9160906,9160933,27, 0
507,9161157,9161184,27, 0
508,9161408,9161435,27, 0
509,9161658,9161685,27, 0
510,9161909,9161936,27, 0
511,9162160,9162188,28, 0
512,9162411,9162438,27, 0
513,9162661,9162689,28, 0
514,9162913,9162940,27, 0
515,9163164,9163191,27, 0
516,9163414,9163441,27, 0
517,9163664,9163693,29, 0
518,9163916,9163943,27, 0
519,9164167,9164194,27, 0
520,9164416,9164443,27, 0
521,9164666,9164695,29, 0
522,9164918,9164945,27, 0
523,9165169,9165196,27, 0
524,9165419,9165446,27, 0
525,9165668,9165696,28, 0
526,9165919,9165947,28, 0
527,9166170,9166198,28, 0
528,9166420,9166447,27, 0
529,9166674,9166702,28, 0
530,9166923,9166950,27, 0
531,9167173,9167201,28, 0
532,9167424,9167451,27, 0
533,9167674,9167701,27, 0
534,9167924,9167952,28, 0
535,9168175,9168203,28, 0
536,9168425,9168453,28, 0
537,9168675,9168703,28, 0
538,9168925,9168953,28, 0
539,9169176,9169203,27, 0
540,9169426,9169454,28, 0
541,9169677,9169704,27, 0
542,9169926,9169953,27, 0
543,9170177,9170204,27, 0
544,9170427,9170454,27, 0
545,9170677,9170704,27, 0
546,9170927,9170955,28, 0
547,9171178,9171204,26, 0
548,9171428,9171455,27, 0
549,9171678,9171705,27, 0
550,9171927,9171954,27, 0
551,9172177,9172204,27, 0
552,9172427,9172455,28, 0
553,9172678,9172705,27, 0
554,9172927,9172955,28, 0
555,9173178,9173205,27, 0
556,9173427,9173454,27, 0
557,9173677,9173704,27, 0
558,9173927,9173955,28, 0
559,9174177,9174204,27, 0
560,9174426,9174455,29, 0
561,9174678,9174705,27, 0
562,9174928,9174956,28, 0
563,9175177,9175204,27, 0
564,9175427,9175456,29, 0
565,9175679,9175706,27, 0
566,9175929,9175956,27, 0
567,9176179,9176206,27, 0
568,9176428,9176455,27, 0
569,9176680,9176706,26, 0
570,9176929,9176957,28, 0
571,9177181,9177208,27, 0
572,9177431,9177459,28, 0
573,9177681,9177708,27, 0
574,9177931,9177958,27, 0
575,9178181,9178209,28, 0
576,9178431,9178458,27, 0
577,9178683,9178709,26, 0
578,9178932,9178960,28, 0
579,9179183,9179211,28, 0
580,9179433,9179460,27, 0
581,9179683,9179710,27, 0
582,9179934,9179962,28, 0
583,9180186,9180213,27, 0
584,9180436,9180463,27, 0
585,9180686,9180713,27, 0
586,9180937,9180964,27, 0
587,9181188,9181215,27, 0
588,9181438,9181465,27, 0
